name,population
Berlin,3472009
Hamburg,1705872
Muenchen,1290079
Munich,1244676
Koln,963817
Frankfurt am Main,652412
Essen,617955
Dortmund,600918
Stuttgart,588482
Dusseldorf,572638
Bremen,549182
Duisburg,536106
Hannover,525763
Nurnberg,495845
Leipzig,481121
Dresden,474443
Bochum,401129
Wuppertal,383776
Bielefeld,324067
Mannheim,316223
Gelsenkirchen,293542
Bonn,293072
Halle,290051
Karlsruhe,277011
Chemnitz,274162
Wiesbaden,266081
Monchengladbach,266073
Magdeburg,265379
Munster,264887
Augsburg,262110
Braunschweig,254130
Krefeld,249662
Aachen,247113
Kiel,246586
Rostock,232634
Oberhausen,225443
Lubeck,216854
Hagen,213747
Erfurt,213472
Kassel,201789
Freiburg im Breisgau,198496
Saarbrucken,189012
Mainz,184627
Hamm,184020
Saarbruecken,183945
Herne,180029
Mulheim an der Ruhr,176513
Osnabruck,168050
Ludwigshafen,167883
Solingen,165973
Leverkusen,161832
Oldenburg,149691
Neuss,148870
Darmstadt,139063
Heidelberg,138964
Potsdam,138268
Paderborn,131513
Bremerhaven,130847
Wurzburg,127946
Gottingen,127519
Recklinghausen,127139
Wolfsburg,126965
Gera,126035
Cottbus,125643
Regensburg,125608
Remscheid,123069
Heilbronn,122253
Bottrop,119669
Schwerin,118291
Pforzheim,117960
Salzgitter,117842
Offenbach am Main,116482
Ulm,115123
Siegen,111541
Ingolstadt,110910
Koblenz,109550
Furth,107799
Reutlingen,107782
Moers,107011
Hildesheim,106095
Witten,105423
Bergisch Gladbach,105122
Zwickau,104921
Jena,102204
Kaiserslautern,101910
Erlangen,101450
